"","pfr_name","round","pick","team","position"
"1","Travon Walker",1,1,"JAX","DE"
"2","Aidan Hutchinson",1,2,"DET","DE"
"3","Derek Stingley",1,3,"HOU","CB"
"4","Ahmad Gardner",1,4,"NYJ","CB"
"5","Kayvon Thibodeaux",1,5,"NYG","DE"
"6","Ikem Ekwonu",1,6,"CAR","T"
"7","Evan Neal",1,7,"NYG","OL"
"8","Drake London",1,8,"ATL","WR"
"9","Charles Cross",1,9,"SEA","OL"
"10","Garrett Wilson",1,10,"NYJ","WR"
"11","Chris Olave",1,11,"NO","WR"
"12","Jameson Williams",1,12,"DET","WR"
"13","Jordan Davis",1,13,"PHI","DT"
"14","Kyle Hamilton",1,14,"BAL","S"
"15","Kenyon Green",1,15,"HOU","OL"
"16","Jahan Dotson",1,16,"WAS","WR"
"17","Zion Johnson",1,17,"LAC","G"
"18","Treylon Burks",1,18,"TEN","WR"
"19","Trevor Penning",1,19,"NO","T"
"20","Kenny Pickett",1,20,"PIT","QB"
"21","Trent McDuffie",1,21,"KC","CB"
"22","Quay Walker",1,22,"GB","LB"
"23","Kaiir Elam",1,23,"BUF","CB"
"24","Tyler Smith",1,24,"DAL","OL"
"25","Tyler Linderbaum",1,25,"BAL","OL"
"26","Jermaine Johnson",1,26,"NYJ","LB"
"27","Devin Lloyd",1,27,"JAX","LB"
"28","Devonte Wyatt",1,28,"GB","DT"
"29","Cole Strange",1,29,"NE","OL"
"30","George Karlaftis",1,30,"KC","DE"
"31","Daxton Hill",1,31,"CIN","DB"
"32","Lewis Cine",1,32,"MIN","DB"
"33","Logan Hall",2,33,"TB","DE"
"34","Christian Watson",2,34,"GB","WR"
"35","Roger McCreary",2,35,"TEN","CB"
"36","Breece Hall",2,36,"NYJ","RB"
"37","Jalen Pitre",2,37,"HOU","S"
"38","Arnold Ebiketie",2,38,"ATL","DE"
"39","Kyler Gordon",2,39,"CHI","CB"
"40","Boye Mafe",2,40,"SEA","DE"
"41","Kenneth Walker",2,41,"SEA","RB"
"42","Andrew Booth",2,42,"MIN","CB"
