"","Player","Team","DraftNumber","WeightedAge","Vac.Tar","Top_36"
"1","Marvin Harrison Jr.","ARI",4,20.61,19,"0.68960900831"
"2","Malik Nabers","NYG",6,20.41,11,"0.65835374470"
"3","Rome Odunze","CHI",9,20.11,14,"0.64070659852"
"4","Brian Thomas Jr.","JAX",23,21.11,36,"0.51837390686"
"5","Keon Coleman","BUF",33,19.81,52,"0.47412591545"
"6","Xavier Worthy","KC",28,19.21,13,"0.45419942206"
"7","Ladd McConkey","LAC",34,22.5,40,"0.37803922807"
"8","Ricky Pearsall","SF",31,21.81,11,"0.36191336402"
"9","Xavier Legette","CAR",32,22.81,14,"0.33769188644"
"10","Ja'Lynn Polk","NE",37,20.21,10,"0.33275398082"
"11","Adonai Mitchell","IND",52,22.11,3,"0.16963177852"
"12","Malachi Corley","NYJ",65,21.01,3,"0.11304451352"
"13","Jermaine Burton","CIN",80,22.41,17,"0.06196325536"
"14","Roman Wilson","PIT",84,22.41,19,"0.05341926919"
"15","Jalen McMillan","TB",92,20.54,5,"0.03974455513"
"16","Troy Franklin","DEN",102,20.11,18,"0.03026048406"
"17","Luke McCaffrey","WAS",100,21.91,19,"0.02841453415"
"18","Javon Baker","NE",110,21.04,10,"0.01844468956"
"19","Devontez Walker","BAL",113,21.71,17,"0.01625806755"
"20","Jacob Cowing","SF",135,20.01,11,"0.00689490850"
"21","Ainias Smith","PHI",152,20.41,12,"0.00319467799"
"22","Jamari Thrash","CLE",156,21.51,2,"0.00221988005"
"23","Bub Means","NO",170,22.91,17,"0.00121431570"
"24","Jha'Quan Jackson","TEN",182,20.71,7,"0.00079842708"
"25","Malik Washington","MIA",184,21.51,8,"0.00068689037"
"26","Johnny Wilson","PHI",185,21.91,12,"0.00065762595"
"27","Jordan Whittington","LAR",213,21.71,3,"0.00018064902"
"28","Brenden Rice","LAC",225,19.61,40,"0.00018016161"
"29","Tahj Washington","MIA",241,20.41,8,"0.00006216659"
"30","Cornelius Johnson","LAC",253,20.91,40,"0.00004691143"
