,pfr_player_name,round,pick,team,position
1,Caleb Williams,1,1,CHI,QB
2,Jayden Daniels,1,2,WAS,QB
3,Drake Maye,1,3,NWE,QB
4,Marvin Harrison Jr.,1,4,ARI,WR
5,Joe Alt,1,5,LAC,OL
6,Malik Nabers,1,6,NYG,WR
7,JC Latham,1,7,TEN,OL
8,Michael Penix,1,8,ATL,QB
9,Rome Odunze,1,9,CHI,WR
10,J.J. McCarthy,1,10,MIN,QB
11,Olumuyiwa Fashanu,1,11,NYJ,OL
12,Bo Nix,1,12,DEN,QB
13,Brock Bowers,1,13,LVR,TE
14,Taliese Fuaga,1,14,NOR,OL
15,Laiatu Latu,1,15,IND,DL
16,Byron Murphy,1,16,SEA,DL
17,Dallas Turner,1,17,MIN,LB
18,Amarius Mims,1,18,CIN,OL
19,Jared Verse,1,19,LAR,DL
20,Troy Fautanu,1,20,PIT,OL
21,Chop Robinson,1,21,MIA,DE
22,Quinyon Mitchell,1,22,PHI,CB
23,Brian Thomas,1,23,JAX,WR
24,Terrion Arnold,1,24,DET,DB
25,Jordan Morgan,1,25,GNB,OL
26,Graham Barton,1,26,TAM,OL
27,Darius Robinson,1,27,ARI,DL
28,Xavier Worthy,1,28,KAN,WR
29,Tyler Guyton,1,29,DAL,OL
30,Nate Wiggins,1,30,BAL,CB
31,Ricky Pearsall,1,31,SFO,WR
32,Xavier Legette,1,32,CAR,WR
33,Keon Coleman,2,33,BUF,WR
34,Ladd McConkey,2,34,LAC,WR
35,Ruke Orhorhoro,2,35,ATL,DT
36,Jer'Zhan Newton,2,36,WAS,DL
37,Ja'Lynn Polk,2,37,NWE,WR
38,T'Vondre Sweat,2,38,TEN,DL
39,Braden Fiske,2,39,LAR,DL
40,Cooper DeJean,2,40,PHI,DB
41,Kool-Aid McKinstry,2,41,NOR,DB
42,Kamari Lassiter,2,42,HOU,DB
43,Max Melton,2,43,ARI,DB
44,Jackson Powers-Johnson,2,44,LVR,OL
45,Edgerrin Cooper,2,45,GNB,LB
46,Jonathon Brooks,2,46,CAR,RB
47,Tyler Nubin,2,47,NYG,DB
48,Maason Smith,2,48,JAX,DT
49,Kris Jenkins,2,49,CIN,DL
50,Mike Sainristil,2,50,WAS,DB
51,Zach Frazier,2,51,PIT,OL
52,Adonai Mitchell,2,52,IND,WR
53,Ben Sinnott,2,53,WAS,TE
54,Michael Hall,2,54,CLE,DT
55,Patrick Paul,2,55,MIA,OL
56,Marshawn Kneeland,2,56,DAL,DL
57,Chris Braswell,2,57,TAM,LB
58,Javon Bullard,2,58,GNB,DB
59,Blake Fisher,2,59,HOU,OL
60,Cole Bishop,2,60,BUF,SAF
61,Ennis Rakestraw,2,61,DET,DB
62,Roger Rosengarten,2,62,BAL,OL
63,Kingsley Suamataia,2,63,KAN,OL
64,Renardo Green,2,64,SFO,DB
65,Malachi Corley,3,65,NYJ,WR
66,Trey Benson,3,66,ARI,RB
67,Brandon Coleman,3,67,WAS,OL
68,Caedan Wallace,3,68,NWE,OL
69,Junior Colson,3,69,LAC,LB
70,Andru Phillips,3,70,NYG,DB
71,Isaiah Adams,3,71,ARI,OL
72,Trevin Wallace,3,72,CAR,LB
73,Cooper Beebe,3,73,DAL,OL
74,Bralen Trice,3,74,ATL,DE
75,Kiran Amegadjie,3,75,CHI,OL
76,Jonah Elliss,3,76,DEN,DE
77,Delmar Glaze,3,77,LVR,OL
78,Calen Bullock,3,78,HOU,SAF
79,Matt Goncalves,3,79,IND,OL
80,Jermaine Burton,3,80,CIN,WR
81,Christian Haynes,3,81,SEA,OL
82,Tip Reiman,3,82,ARI,TE
83,Blake Corum,3,83,LAR,RB
84,Roman Wilson,3,84,PIT,WR
85,Zak Zinter,3,85,CLE,OL
86,Dominick Puni,3,86,SFO,OL
87,Marist Liufau,3,87,DAL,LB
88,MarShawn Lloyd,3,88,GNB,RB
89,Tykee Smith,3,89,TAM,DB
90,Elijah Jones,3,90,ARI,DB
91,Ty'Ron Hopper,3,91,GNB,LB
92,Jalen McMillan,3,92,TAM,WR
93,Adisa Isaac,3,93,BAL,DE
94,Jalyx Hunt,3,94,PHI,DE
95,DeWayne Carter,3,95,BUF,DT
96,Jarrian Jones,3,96,JAX,DB
97,McKinnley Jackson,3,97,CIN,DL
98,Payton Wilson,3,98,PIT,LB
99,Kamren Kinchens,3,99,LAR,SAF
100,Luke McCaffrey,3,100,WAS,WR
101,Ja'Tavion Sanders,4,101,CAR,TE
102,Troy Franklin,4,102,DEN,WR
103,Layden Robinson,4,103,NWE,OL
104,Dadrion Taylor-Demerson,4,104,ARI,DB
105,Justin Eboigbe,4,105,LAC,DL
106,Cedric Gray,4,106,TEN,LB
107,Theo Johnson,4,107,NYG,TE
108,Khyree Jackson,4,108,MIN,DB
109,Brandon Dorlus,4,109,ATL,DE
110,Javon Baker,4,110,NWE,WR
111,Evan Williams,4,111,GNB,DB
112,Decamerion Richardson,4,112,LVR,CB
113,Devontez Walker,4,113,BAL,WR
114,Javon Foster,4,114,JAX,OL
115,Erick All,4,115,CIN,TE
116,Jordan Jefferson,4,116,JAX,DT
117,Tanor Bortolini,4,117,IND,OL
118,Tyrice Knight,4,118,SEA,LB
119,Mason McCormick,4,119,PIT,OL
120,Jaylen Wright,4,120,MIA,RB
121,AJ Barner,4,121,SEA,TE
122,Tory Taylor,4,122,CHI,P
123,Cade Stover,4,123,HOU,TE
124,Malik Mustapha,4,124,SFO,DB
125,Bucky Irving,4,125,TAM,RB
126,Giovanni Manu,4,126,DET,OL
127,Will Shipley,4,127,PHI,RB
128,Ray Davis,4,128,BUF,RB
129,Isaac Guerendo,4,129,SFO,RB
130,T.J. Tampa,4,130,BAL,DB
131,Jared Wiley,4,131,KAN,TE
132,Sione Vaki,4,132,DET,SAF
133,Jaden Hicks,4,133,KAN,DB
134,Braelon Allen,4,134,NYJ,RB
135,Jacob Cowing,4,135,SFO,WR
136,Nehemiah Pritchett,5,136,SEA,CB
137,Tarheeb Still,5,137,LAC,DB
138,Xavier Thomas,5,138,ARI,DE
139,Jordan Magee,5,139,WAS,LB
140,Cam Hart,5,140,LAC,CB
141,Sedrick Van Pran,5,141,BUF,OL
142,Anthony Gould,5,142,IND,WR
143,JD Bertrand,5,143,ATL,LB
144,Austin Booker,5,144,CHI,DL
145,Kris Abrams-Draine,5,145,DEN,DB
146,Jarvis Brownlee,5,146,TEN,DB
147,Audric Estime,5,147,DEN,RB
148,Tommy Eichenberg,5,148,LVR,LB
149,Josh Newton,5,149,CIN,CB
150,Spencer Rattler,5,150,NOR,QB
151,Jaylon Carlies,5,151,IND,DB
152,Ainias Smith,5,152,PHI,WR
153,Deantre Prince,5,153,JAX,CB
154,Brennan Jackson,5,154,LAR,DE
155,Jeremiah Trotter,5,155,PHI,LB
156,Jamari Thrash,5,156,CLE,WR
157,Chau Smith-Wade,5,157,CAR,DB
158,Mohamed Kamara,5,158,MIA,DL
159,Hunter Nourzad,5,159,KAN,OL
160,Edefuan Ulofoshio,5,160,BUF,LB
161,Dominique Hampton,5,161,WAS,CB
162,Christian Jones,5,162,ARI,OL
163,Jacob Monk,5,163,GNB,OL
164,Jaylin Simpson,5,164,IND,SAF
165,Rasheen Ali,5,165,BAL,RB
166,Tyrone Tracy,5,166,NYG,RB
167,Keilan Robinson,5,167,JAX,RB
168,Javon Solomon,5,168,BUF,DE
169,Kitan Oladapo,5,169,GNB,DB
170,Bub Means,5,170,NOR,WR
171,Jordan Travis,5,171,NYJ,QB
172,Trevor Keegan,5,172,PHI,OL
173,Isaiah Davis,5,173,NYJ,RB
174,Caelen Carson,5,174,DAL,DB
