Player,School,Pick_Num,Team,GP,Rec,Rec_Yds,Rec_Yds_Game,YPC,Rec_TDs,Rush_Att,Rush_Yds,Rush_YPA,Rush_TDs,Fumbles,Col_FPPG,Rec_Percentage,TD_Percentage,Dominator,Vac_Tar,Age,Height,Breakout Age
Carnell Tate,Ohio State,4,TEN,11,51,875,79.55,17.2,9,2,16,8,0,0,15.33,21,35,32,16,21.2,74,20.6
Jordyn Tyson,Arizona State,8,NO,12,75,1101,91.75,14.7,10,1,1,1,0,2,16.98,37,45,42,19,21.7,74,18.1
Makai Lemon,USC,20,PHI,12,79,1156,96.33,14.6,11,9,4,0.4,2,1,19.29,31,46,39,8,21.8,71,21.3
KC Concepcion,Texas A&M,24,CLE,13,71,839,64.54,11.8,10,41,320,7.8,0,0,16.26,32,53,42,6,21.4,72,18.8
Omar Cooper Jr.,Indiana,30,NYJ,15,70,961,64.07,13.7,13,3,74,24.7,1,0,14.83,26,30,28,17,22.3,72,20.7
De'Zhaun Stribling,Ole Miss,33,SF,11,52,892,81.09,17.2,6,0,0,0,0,0,13.75,21,30,30,27,23.3,74,19.7
Denzel Boston,Washington,39,CLE,11,62,881,80.09,14.2,11,0,0,0,0,1,16.65,29,50,41,6,22.3,76,20.8
Germie Bernard,Alabama,47,PIT,15,64,862,57.47,13.5,7,18,101,5.6,2,0,12.15,19,22,21,18,22.4,73,21.8
Antonio Williams,Clemson,71,WAS,14,74,902,64.43,12.2,11,7,101,14.4,1,1,14.81,22,30,26,32,21.7,72,19.1
Malachi Fields,Notre Dame,74,NYG,12,36,630,52.50,17.5,5,0,0,0,0,1,9.08,17,20,20,31,23.8,77,20.2
Caleb Douglas,Texas Tech,75,MIA,13,55,845,65.00,15.4,7,0,0,0,0,0,11.85,19,23,23,36,22.6,76,19
Zachariah Branch,Georgia,79,ATL,14,81,811,57.93,10,6,4,7,1.8,0,0,11.31,28,24,25,23,22,69,21.4
Ja'Kobi Lane,USC,80,BAL,12,43,525,43.75,12.2,12,0,0,0,0,0,12.17,14,45,29,12,21.7,76,20.1
Chris Brazzell II,Tennessee,83,CAR,12,62,1017,84.75,16.4,9,0,0,0,0,0,15.56,23,38,33,18,22.5,76,20
Ted Hurst,Georgia State,84,TB,12,56,961,80.08,17.2,9,0,0,0,0,0,14.84,21,43,37,11,21.8,76,20.2
Zavion Thomas,LSU,89,CHI,13,41,488,37.54,11.9,4,19,99,5.2,1,1,8.25,14,20,18,30,21.6,70,N/A
Chris Bell,Louisville,94,MIA,11,72,917,83.36,12.7,6,0,0,0,0,0,14.88,32,39,38,36,23.2,74,22.6
Brenen Thompson,Mississippi State,105,LAC,13,57,1054,81.08,18.5,6,4,14,3.5,1,0,13.64,23,30,31,24,22.7,69,22.1
Elijah Sarratt,Indiana,115,BAL,13,64,806,62.00,12.6,15,0,0,0,0,0,15.58,27,40,33,12,22.9,75,20.3
Kaden Wetjen,Iowa,121,PIT,13,20,151,11.62,7.6,1,15,79,5.3,2,1,3.77,11,8,8,18,24.1,69,N/A
Skyler Bell,Connecticut,125,BUF,13,101,1276,98.15,12.6,13,2,-2,-1,0,1,19.53,33,43,38,9,23.8,72,20.2
Bryce Lance,North Dakota State,136,NO,1,3,32,32.00,10.7,0,1,8,8,0,0,5.50,15,0,5,19,23.6,75,N/A
Colbie Young,Georgia,140,CIN,12,47,563,46.92,12,5,0,0,0,0,1,8.98,18,24,20,0,23.7,77,20.1
Reggie Virgil,Texas Tech,143,ARI,13,41,816,62.77,19.9,9,0,0,0,0,0,12.01,20,42,35,8,21.9,75,20.3
Kendrick Law,Kentucky,168,DET,12,53,540,45.00,10.2,3,8,53,6.6,0,0,8.65,23,20,21,7,22.8,71,22.2
Kevin Coleman Jr.,Missouri,177,MIA,12,74,932,77.67,12.6,6,4,11,2.8,0,1,13.78,34,32,32,36,22.6,70,21
Barion Brown,LSU,190,NO,13,43,539,41.46,12.5,4,12,147,12.2,1,0,9.24,20,16,17,19,22.3,71,18.7
Josh Cameron,Baylor,191,JAX,12,69,872,72.67,12.6,9,0,0,0,0,4,13.98,22,29,26,12,23.1,74,21.5
Malik Benson,Oregon,195,LV,15,43,719,47.93,16.7,6,1,-4,-4,0,0,8.60,14,19,19,18,23.5,72,N/A
CJ Daniels,Miami,197,LAR,12,50,557,46.42,11.1,7,0,0,0,0,0,10.23,19,29,23,7,24.3,74,19.7
Emmanuel Henderson Jr.,Kansas,199,SEA,12,45,766,63.83,17,5,4,16,4,0,0,10.89,21,22,25,2,23.1,73,22.5
Deion Burks,Oklahoma,254,IND,13,57,620,47.69,10.9,4,6,-3,-0.5,0,0,8.78,22,24,21,21,23.3,70,20.7
