,Player,Team,Pick_Num,Rec_TDs,Vac_Tar,top24_indicator
0,Carnell Tate,TEN,4,9,16,0.0693222821539111
1,Jordyn Tyson,NO,8,10,19,0.10318941552617354
2,Makai Lemon,PHI,20,11,8,0.05268605705775838
3,KC Concepcion,CLE,24,10,6,0.03362054746301006
4,Omar Cooper Jr.,NYJ,30,13,17,0.13926781809630287
5,De'Zhaun Stribling,SF,33,6,27,0.049303982531884644
6,Denzel Boston,CLE,39,11,6,0.03558640305631345
7,Germie Bernard,PIT,47,7,18,0.02756636485698886
8,Antonio Williams,WAS,71,11,32,0.1439539987593341
9,Malachi Fields,NYG,74,5,31,0.029786237564415004
10,Caleb Douglas,MIA,75,7,36,0.0695810449499786
11,Zachariah Branch,ATL,79,6,23,0.02005166341692755
12,Ja'Kobi Lane,BAL,80,12,12,0.041274931099271085
13,Chris Brazzell II,CAR,83,9,18,0.028538053350849312
14,Ted Hurst,TB,84,9,11,0.016832684061811997
15,Zavion Thomas,CHI,89,4,30,0.01749960839331393
16,Chris Bell,MIA,94,6,36,0.04240559341811966
17,Brenen Thompson,LAC,105,6,24,0.015221485262993946
18,Elijah Sarratt,BAL,115,15,12,0.055621568734976895
19,Kaden Wetjen,PIT,121,1,18,0.0021078200656877307
20,Skyler Bell,BUF,125,13,9,0.02360467676750069
21,Bryce Lance,NO,136,0,19,0.0014222430455262268
22,Colbie Young,CIN,140,5,0,0.0012089947268935145
23,Reggie Virgil,ARI,143,9,8,0.00605902456668896
24,Kendrick Law,DET,168,3,7,0.0008229919960605154
25,Kevin Coleman Jr.,MIA,177,6,36,0.014027210191976147
26,Barion Brown,NO,190,4,19,0.0019527473591099429
27,Josh Cameron,JAX,191,9,12,0.00425200948482887
28,Malik Benson,LV,195,6,18,0.002865914562358537
29,CJ Daniels,LAR,197,7,7,0.0015903754128595445
30,Emmanuel Henderson Jr.,SEA,199,5,2,0.0006272346796128489
31,Deion Burks,IND,254,4,21,0.0009465194075929671
