Player,School,Pick_Num,Team,GP,Rec,Rec_Yds,Rec_Yds_Game,YPC,Rec_TDs,Rush_Att,Rush_Yds,Rush_YPA,Rush_TDs,Fumbles,Col_FPPG,Rec_Percentage,TD_Percentage,Dominator,Vac_Tar,Age,Height,Breakout Age
Ja'Marr Chase,LSU,5,CIN,14,84,1780,127.1428571,21.2,20,1,5,5.0,0,1,24.17857143,21.0,35.0,33.0,32.7,21.175342465753424,72,19.5
Jaylen Waddle,Alabama,6,MIA,6,28,591,98.5,21.1,4,3,12,4.0,0,0,16.38333333,19.0,21.0,24.0,14.0,22.526027397260275,70,21.8
DeVonta Smith,Alabama,10,PHI,13,117,1856,142.7692308,15.9,23,4,6,1.5,1,0,29.9,36.0,55.0,47.0,13.3,22.556164383561644,73,20.8
Kadarius Toney,Florida,20,NYG,11,70,984,89.45454545,14.1,10,19,161,8.5,1,1,19.40909091,24.0,24.0,23.0,24.2,22.268493150684932,72,21.6
Rashod Bateman,Minnesota,27,BAL,13,60,1219,93.76923077,20.3,11,0,0,0.0,0,0,16.76153846,28.0,35.0,36.0,21.7,21.515068493150686,74,18.8
Elijah Moore,Ole Miss,34,NYJ,8,86,1193,149.125,13.9,8,14,64,4.6,0,1,26.8375,45.0,33.0,38.0,29.7,21.104109589041094,69,19.4
Rondale Moore,Purdue,49,ARI,13,114,1258,96.76923077,11.0,12,21,213,10.1,2,2,21.85384615,34.0,43.0,37.0,21.0,20.9013698630137,69,18.2
D'Wayne Eskridge,Western Michigan,56,SEA,6,33,768,128.0,23.3,8,2,43,21.5,0,1,23.93333333,33.0,44.0,44.0,14.2,24.117808219178084,69,20.5
Tutu Atwell,Louisville,57,LAR,13,69,1272,97.84615385,18.4,12,9,33,3.7,0,4,17.61538462,39.0,38.0,39.0,22.2,21.575342465753426,69,18.9
Terrace Marshall,LSU,59,CAR,7,48,731,104.4285714,15.2,10,0,0,0.0,0,1,22.15714286,28.0,60.0,46.0,28.8,20.9013698630137,75,19.2
Josh Palmer,Tennessee,77,LAC,10,33,475,47.5,14.4,4,0,0,0.0,0,0,8.8,18.0,29.0,25.0,0.0,21.616438356164384,74,
Dyami Brown,North Carolina,82,WAS,11,55,1099,99.90909091,20.0,8,0,0,0.0,0,0,16.85454545,25.0,28.0,30.0,11.4,21.506849315068493,73,19.8
Amari Rodgers,Clemson,85,GB,12,77,1020,85.0,13.2,7,0,0,0.0,0,2,14.875,24.0,23.0,23.0,18.0,21.613698630136987,70,21.0
Nico Collins,Michigan,89,HOU,12,37,729,60.75,19.7,7,0,0,0.0,0,0,11.11666667,18.0,30.0,27.0,29.6,22.12876712328767,76,19.5
Anthony Schwartz,Auburn,91,CLE,10,54,636,63.6,11.8,3,4,-6,-1.5,0,1,10.6,28.0,28.0,28.0,20.2,20.660273972602738,72,20.0
Dez Fitzpatrick,Louisville,109,TEN,11,43,833,75.72727273,19.4,3,0,0,0.0,0,1,10.98181818,21.0,15.0,23.0,52.6,23.38082191780822,74,
Amon-Ra St. Brown,USC,112,DET,6,41,478,79.66666667,11.7,7,0,0,0.0,0,0,18.38333333,23.0,41.0,33.0,80.2,21.528767123287672,73,18.9
Jaelon Darden,North Texas,129,TB,9,74,1190,132.2222222,16.1,19,2,-1,-0.5,0,0,29.98888889,44.0,75.0,61.0,0.0,22.304109589041097,69,20.6
Tylan Wallace,Oklahoma State,131,BAL,10,59,917,91.7,15.5,6,1,7,7.0,0,0,15.79,31.0,37.0,37.0,21.7,21.97808219178082,72,19.3
Ihmir Smith-Marsette,Iowa,157,MIN,7,25,345,49.28571429,13.8,4,7,54,7.7,1,1,11.48571429,20.0,51.0,37.0,10.5,21.682191780821917,73,20.0
Simi Fehoko,Stanford,179,DAL,6,37,584,97.33333333,15.8,3,1,-1,-1.0,0,0,15.8,26.0,43.0,38.0,0.0,23.495890410958904,76,21.8
Frank Darby,Arizona State,187,ATL,12,31,616,51.33333333,19.9,8,0,0,0.0,0,0,10.425,14.0,41.0,30.0,6.3,23.654794520547945,73,
Marquez Stevenson,Houston,203,BUF,13,75,1019,78.38461538,13.6,9,14,126,9.0,2,3,16.30769231,26.0,20.0,23.0,12.2,23.10958904109589,72,
Shi Smith,South Carolina,204,CAR,9,57,633,70.33333333,11.1,4,6,6,1.0,0,1,12.71111111,36.0,56.0,46.0,28.8,22.523287671232875,70,19.9
Seth Williams,Auburn,219,DEN,11,47,760,69.09090909,16.2,4,0,0,0.0,0,1,11.04545455,22.0,33.0,32.0,0.0,21.065753424657533,75,19.4
Dazz Newsome,North Carolina,221,CHI,12,72,1018,84.83333333,14.1,10,3,9,3.0,0,1,16.39166667,29.0,28.0,28.0,67.0,21.972602739726028,71,20.3
Dax Milne,BYU,258,WAS,12,70,1188,99.0,17.0,8,11,67,6.1,0,2,17.04166667,26.0,24.0,26.0,11.4,21.865753424657534,72,
Drake London,USC,8,ATL,8,88,1084,135.5,12.3,7,1,2,2.0,0,0,24.325,45.0,54.0,51.0,26.0,20.775342465753425,77,18.1
Garrett Wilson,Ohio State,10,NYJ,11,70,1058,96.18181818,15.1,12,4,76,19.0,1,0,20.58181818,24.0,31.0,28.000000000000004,21.0,21.78082191780822,72,20.1
Chris Olave,Ohio State,11,NO,11,65,936,85.09090909,14.4,13,0,0,0.0,0,0,18.55454545,22.0,33.0,27.0,13.0,21.84931506849315,73,19.2
Jameson Williams,Alabama,12,DET,15,79,1572,104.8,19.9,15,3,23,7.7,0,2,19.0,21.0,31.0,31.0,5.0,21.104109589041094,74,20.4
Jahan Dotson,Penn State,16,WAS,12,91,1182,98.5,13.0,12,6,18,3.0,1,1,20.125,34.0,52.0,44.0,20.0,22.115068493150684,71,20.5
Treylon Burks,Arkansas,18,TEN,12,67,1123,93.58333333,16.8,11,14,112,8.0,1,1,18.91666667,35.0,54.0,48.0,43.0,22.112328767123287,75,20.5
Christian Watson,North Dakota State,34,GB,12,43,801,66.75,18.6,7,15,114,7.6,1,0,13.41666667,0.0,0.0,0.0,44.0,22.97808219178082,77,
Wan'Dale Robinson,Kentucky,43,NYG,13,104,1334,102.6153846,12.8,7,7,111,15.9,0,1,18.19230769,43.0,28.999999999999996,37.0,3.0,21.323287671232876,71,18.7
John Metchie,Alabama,44,HOU,13,96,1142,87.84615385,11.9,8,1,8,8.0,0,1,16.07692308,28.999999999999996,19.0,22.0,8.0,21.791780821917808,72,21.1
Tyquan Thornton,Baylor,50,NE,14,62,948,67.71428571,15.3,10,1,-11,-11.0,0,0,13.19285714,26.0,42.0,37.0,1.0,21.736986301369864,75,
George Pickens,Georgia,52,PIT,12,49,727,60.58333333,14.8,8,0,0,0.0,0,0,12.1,22.0,36.0,31.0,21.0,21.164383561643834,75,18.5
Alec Pierce,Cincinnati,53,IND,14,52,884,63.14285714,17.0,8,0,0,0.0,0,0,11.6,20.0,24.0,25.0,26.0,22.002739726027396,75,20.3
Skyy Moore,Western Michigan,54,KC,12,94,1283,106.9166667,13.6,10,1,10,10.0,0,0,19.69166667,44.0,47.0,44.0,41.0,21.643835616438356,70,20.0
Velus Jones,Tennessee,71,CHI,13,62,807,62.07692308,13.0,7,1,15,15.0,0,2,11.63076923,26.0,21.0,22.0,31.0,24.980821917808218,72,
Jalen Tolbert,South Alabama,88,DAL,12,82,1474,122.8333333,18.0,8,0,0,0.0,0,1,19.53333333,30.0,36.0,42.0,32.0,23.18082191780822,75,20.5
David Bell,Purdue,99,CLE,11,93,1286,116.9090909,13.8,6,3,39,13.0,0,0,19.54545455,27.0,20.0,26.0,27.0,21.383561643835616,74,18.7
Danny Gray,SMU,105,SF,10,49,803,80.3,16.4,9,3,40,13.3,0,0,16.28,20.0,30.0,28.999999999999996,17.0,23.09041095890411,73,
Erik Ezukanma,Texas Tech,125,MIA,11,48,705,64.09090909,14.7,4,10,138,13.8,2,0,13.11818182,23.0,26.0,25.0,25.0,22.27123287671233,75,20.6
Romeo Doubs,Nevada,132,GB,11,80,1109,100.8181818,13.9,11,1,4,4.0,0,0,19.75454545,24.0,34.0,31.0,44.0,22.054794520547944,74,19.4
Calvin Austin,Memphis,138,PIT,12,74,1149,95.75,15.5,8,1,69,69.0,1,1,17.56666667,30.0,33.0,34.0,21.0,23.112328767123287,69,21.5
Khalil Shakir,Boise State,148,BUF,12,77,1117,93.08333333,14.5,7,21,130,6.2,0,0,17.1,30.0,35.0,35.0,31.0,22.246575342465754,72,19.6
Montrell Washington,Samford,162,DEN,1,10,124,124.0,12.4,1,3,19,6.3,1,1,29.3,28.999999999999996,33.0,31.0,1.0,23.13972602739726,70,
Kyle Philips,UCLA,163,TEN,11,59,739,67.18181818,12.5,10,0,0,0.0,0,1,14.67272727,31.0,47.0,38.0,43.0,22.87945205479452,71,
Jalen Nailor,Michigan State,191,MIN,9,37,695,77.22222222,18.8,6,1,-3,-3.0,0,0,13.74444444,22.0,32.0,31.0,3.0,23.172602739726027,72,
Michael Woods II,Oklahoma,202,CLE,11,35,400,36.36363636,11.4,2,1,2,2.0,0,0,6.336363636,15.0,7.000000000000001,10.0,27.0,22.123287671232877,73,
Bo Melton,Rutgers,229,SEA,10,56,619,61.9,11.1,3,9,51,5.7,0,1,11.1,32.0,43.0,39.0,0.0,22.96164383561644,71,
Samori Toure,Nebraska,258,GB,12,46,898,74.83333333,19.5,5,8,63,7.9,1,1,12.75833333,21.0,36.0,31.0,44.0,24.112328767123287,75,
Justyn Ross,Clemson,Undrafted,KC,10,46,514,51.4,11.2,3,0,0,0.0,0,0,9.24,26.0,32.0,28.999999999999996,41.0,22.383561643835616,76,18.7
Charleston Rambo,Miami,Undrafted,CAR,12,79,1171,97.58333333,14.8,7,0,0,0.0,0,1,16.38333333,27.0,23.0,26.0,1.0,22.731506849315068,73,22.1
Dontario Drummond,Ole Miss,Undrafted,DAL,12,76,1028,85.66666667,13.5,8,6,40,6.7,1,1,16.4,28.999999999999996,41.0,36.0,32.0,24.698630136986303,73,24.0
Marvin Harrison Jr.,Ohio State,4,ARI,12,67,1211,100.91666666666667,18.1,14,2,26,13.0,1,0,20.599999999999998,0.28,0.58,0.47,19.0,21.8,75,20.1
Malik Nabers,LSU,6,NYG,13,89,1569,120.6923076923077,17.6,14,1,1,1.0,0,0,21.96153846153846,0.31,0.32,0.33,11.0,20.9,72,20.2
Rome Odunze,Washington,9,CHI,15,92,1640,109.33333333333333,17.8,13,2,37,18.5,1,1,19.71333333333333,0.24,0.34,0.33,14.0,22.0,75,19.3
Keon Coleman,Florida State,33,BUF,12,50,658,54.833333333333336,13.2,11,1,2,2.0,0,1,12.916666666666666,0.22,0.51,0.36,52.0,21.0,75,19.3
Xavier Worthy,Texas,28,KC,12,63,998,83.16666666666667,15.8,12,1,7,7.0,0,2,16.666666666666668,0.29,0.41,0.39,13.0,21.1,71,18.4
Ladd McConkey,Georgia,34,LAC,15,58,762,50.8,13.1,7,7,134,19.1,2,3,11.106666666666666,0.17,0.23,0.19,40.0,22.5,72,
Adonai Mitchell,Texas,52,IND,14,55,845,60.357142857142854,15.4,11,2,1,0.5,0,1,12.578571428571427,0.17,0.44,0.32,3.0,22.6,74,21.9
Brian Thomas Jr.,LSU,23,JAX,13,68,1177,90.53846153846153,17.3,17,1,-6,-6.0,0,0,19.46923076923077,0.24,0.39,0.32,36.0,21.6,76,20.9
Xavier Legette,South Carolina,32,CAR,12,71,1255,104.58333333333333,17.7,7,9,-9,-1.0,0,0,16.841666666666665,0.25,0.33,0.35,14.0,23.3,73,22.6
Ja'Lynn Polk,Washington,37,NE,13,69,1159,89.15384615384616,16.8,9,4,32,8.0,1,0,16.43076923076923,0.21,0.27,0.26,10.0,22.1,73,19.4
Roman Wilson,Michigan,84,PIT,14,48,789,56.357142857142854,16.4,12,1,10,10.0,0,0,12.564285714285715,0.2,0.54,0.39,19.0,22.9,71,22.2
Troy Franklin,Oregon,102,DEN,13,81,1383,106.38461538461539,17.1,14,0,0,0.0,0,0,20.215384615384615,0.22,0.31,0.3,18.0,21.3,74,19.6
Devontez Walker,North Carolina,113,BAL,12,58,921,76.75,15.9,11,3,29,9.7,1,0,16.333333333333332,0.3,0.65,0.5,17.0,22.9,74,21.2
